farm_id,lat,lon,date,temp_max,temp_min,temp,humidity,precip,windspeed,pressure,visibility,cloudcover,conditions,description,uvindex,sunrise,sunset
F001,10.546179,76.41653,2025-08-10,30.0,23.7,26.3,87.8,2.0,13.2,1010.3,4.4,72.8,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,4.0,06:14:23,18:45:02
F001,10.546179,76.41653,2025-08-11,29.7,24.0,26.0,87.8,17.0,14.8,1010.4,4.0,87.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,5.0,06:14:28,18:44:38
F001,10.546179,76.41653,2025-08-12,29.7,23.1,25.7,88.6,2.0,20.3,1009.8,7.8,86.8,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,6.0,06:14:32,18:44:14
F001,10.546179,76.41653,2025-08-13,27.0,23.6,24.9,93.1,35.0,13.7,1008.7,4.1,91.0,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,3.0,06:14:37,18:43:48
F001,10.546179,76.41653,2025-08-14,30.0,23.9,25.8,88.9,16.0,24.1,1008.6,3.4,88.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,6.0,06:14:40,18:43:22
F001,10.546179,76.41653,2025-08-15,29.2,23.9,25.2,94.0,9.0,21.1,1008.1,3.6,93.8,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,7.0,06:14:44,18:42:55
F001,10.546179,76.41653,2025-08-16,27.0,22.9,24.6,92.9,22.0,24.1,1007.1,4.3,91.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,7.0,06:14:47,18:42:28
F001,10.546179,76.41653,2025-08-17,28.0,24.0,25.0,92.7,13.0,22.3,1007.2,3.6,89.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,6.0,06:14:49,18:42:00
F001,10.546179,76.41653,2025-08-18,29.9,23.0,26.1,89.0,5.6,19.4,1009.4,3.9,87.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,6.0,06:14:52,18:41:31
F001,10.546179,76.41653,2025-08-19,31.0,24.0,26.9,84.6,0.2,22.3,1009.7,4.3,62.0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,9.0,06:14:54,18:41:02
F001,10.546179,76.41653,2025-08-20,31.0,23.3,26.7,82.3,4.8,16.6,1010.0,6.4,52.1,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,8.0,06:14:55,18:40:32
F001,10.546179,76.41653,2025-08-21,31.0,23.0,26.8,82.1,1.2,22.3,1010.5,5.0,43.9,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,9.0,06:14:56,18:40:01
F001,10.546179,76.41653,2025-08-22,30.0,24.0,27.0,86.4,0.8,14.8,1010.3,6.1,79.2,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,7.0,06:14:57,18:39:30
F001,10.546179,76.41653,2025-08-23,30.4,24.6,27.1,84.5,0.9,13.2,1010.3,4.2,84.4,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,7.0,06:14:57,18:38:58
F001,10.546179,76.41653,2025-08-24,32.0,24.0,27.5,79.7,0.6,24.1,1010.8,4.7,44.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,9.0,06:14:57,18:38:26
F001,10.546179,76.41653,2025-08-25,32.0,23.0,27.4,78.4,0.0,20.5,1009.4,4.9,37.5,Partially cloudy,Partly cloudy throughout the day.,9.0,06:14:57,18:37:54
F001,10.546179,76.41653,2025-08-26,30.0,24.0,26.7,83.4,5.6,16.6,1010.2,4.6,62.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,8.0,06:14:57,18:37:21
F001,10.546179,76.41653,2025-08-27,28.0,23.0,25.1,90.1,19.0,11.2,1010.0,4.6,90.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,2.0,06:14:56,18:36:47
F001,10.546179,76.41653,2025-08-28,25.0,22.7,24.1,96.3,67.3,14.8,1009.6,2.7,96.0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,2.0,06:14:55,18:36:13
F001,10.546179,76.41653,2025-08-29,30.0,23.8,26.1,90.0,30.7,22.3,1009.5,5.3,89.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,3.0,06:14:53,18:35:38
F001,10.546179,76.41653,2025-08-30,29.0,25.0,26.3,90.8,33.1,24.1,1010.6,3.4,89.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,6.0,06:14:52,18:35:04
F001,10.546179,76.41653,2025-08-31,30.0,24.0,26.8,86.4,7.9,20.5,1010.2,4.3,83.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,5.0,06:14:50,18:34:28
F001,10.546179,76.41653,2025-09-01,30.0,25.0,26.7,88.7,13.0,25.9,1008.8,4.3,74.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,6.0,06:14:48,18:33:53
F001,10.546179,76.41653,2025-09-02,30.0,23.5,26.9,84.7,3.3,22.3,1008.6,5.4,54.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,9.0,06:14:45,18:33:17
F001,10.546179,76.41653,2025-09-03,30.0,21.4,26.6,86.4,7.4,25.9,1008.8,4.9,81.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,9.0,06:14:42,18:32:40
F001,10.546179,76.41653,2025-09-04,28.0,22.2,25.2,91.4,13.9,18.4,1009.6,6.0,87.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,9.0,06:14:40,18:32:04
F001,10.546179,76.41653,2025-09-05,30.0,23.0,26.0,87.4,9.4,20.5,1010.3,4.2,90.2,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,7.0,06:14:37,18:31:27
F001,10.546179,76.41653,2025-09-06,31.0,21.7,26.9,85.2,6.7,22.3,1010.2,5.1,70.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,9.0,06:14:33,18:30:50
F001,10.546179,76.41653,2025-09-07,31.0,25.0,27.6,82.8,5.4,22.3,1010.0,4.8,56.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,9.0,06:14:30,18:30:12
F001,10.546179,76.41653,2025-09-08,32.0,22.4,26.8,83.4,0.3,22.3,1009.4,10.4,68.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,6.0,06:14:27,18:29:34
